station_numbers,station_names,station_addresses,station_pos,station_capacities,status
200,PLACE DE L'ORMEAU,FACE 345 AV JEAN RIEUX,"(1.483297, 43.579481)",17,OPEN
201,POTEZ -SAINT-EXUPERY,256 AV ANTOINE DE ST EXUPERY,"(1.480838, 43.579763)",18,OPEN
202,SAINT-EXUPERY - COURREGE,165 AV ANTOINE DE ST EXUPERY,"(1.475865, 43.581632)",17,OPEN
203,SAINT-EXUPERY - PETIT PRINCE,2 AV ANTOINE DE ST EXUPERY,"(1.470033, 43.58355)",20,OPEN
204,PLACE ROGER ARNAUD,PL ROGER ARNAUD,"(1.463178, 43.586859)",18,OPEN
205,COTTAGE - RIEUX,58 AV DES COTTAGES,"(1.475057, 43.585924)",18,OPEN
206,LEYGUE - RIEUX,20 AV ARMAND LEYGUE,"(1.465197, 43.594117)",18,OPEN
207,CHRIST ROI,FACE 25 RUE DE L AUDE,"(1.481757, 43.583202)",17,OPEN
208,LIMAYRAC - DARASSE,RD-PT ALL DE LIMAYRAC / ANGLE RUE DARASSE,"(1.480065, 43.591199)",18,CLOSED
209,BAROUX - DARASSE,4 AV LUCIEN BAROUX,"(1.4789, 43.589557)",18,OPEN
210,TERRASSE - CENTRE COMMERCIAL,FACE 42 CHE DE LA TERRASSE,"(1.482942, 43.586086)",18,OPEN
211,LE DORMEUR - LA TERRASSE,9 RUE LE DORMEUR,"(1.487795, 43.583511)",18,OPEN
212,CHAUMIERE - CHIRAC,RUE DE LA CHAUMIERE / 50 M APRES RD-PT DU CAPITAINE DREYFUS,"(1.465444, 43.6152)",17,OPEN
213,PUJOL - CHAUBET,129 AV DE CASTRES,"(1.467249, 43.600704)",17,OPEN
214,CASTRES - ACHIARY,48 AV DE CASTRES,"(1.473579, 43.600828)",17,OPEN
215,METRO ARGOULETS,FACE 8 RUE DE GAILLAC,"(1.475935, 43.623823)",20,OPEN
216,ARGOULETS - HOUDON,3 RUE JEAN HOUDON,"(1.474083, 43.622823)",17,OPEN
217,AMOUROUX - SAINT-TROPEZ,42 CHEMIN AMOUROUX,"(1.466259, 43.629655)",18,OPEN
218,AMOUROUX - SAINTE-AUGUSTINE,24 BIS CHE AMOUROUX,"(1.461861, 43.627643)",18,OPEN
219,PUCCINI - ROUTE DE BLAGNAC,35 RUE GIACOMO PUCCINI,"(1.411161, 43.614514)",18,OPEN
220,TABAR - UNIVERSITE JEAN JAURES,3 RUE DE L'UNIVERSITE,"(1.402211, 43.574466)",19,OPEN
221,VAUQUELIN,FACE 85 RUE VAUQUELIN,"(1.406355, 43.576221)",20,OPEN
222,CAMBOU - ROCHE,15 AV DU COLONEL ROCHE,"(1.474416, 43.563894)",20,OPEN
223,ENAC,7 AV EDOUARD BELIN ANGLE AV ROCHE RD-PT GUY DU MERLE,"(1.478297, 43.565079)",22,OPEN
224,CAMPUS SUPAERO,10 AV EDOUARD BELIN FACE CHATEAU D'EAU CREPS RD-PT JEAN LAGASSE,"(1.475301, 43.56644)",20,OPEN
225,BELIN - ONERA,4 AV EDOUARD BELIN DEVANT ONERA FACE AU CREPS,"(1.473463, 43.570117)",20,OPEN
226,FONTAINES - CASSELARDIT,FACE 287 RUE DES FONTAINES ANGLE AV DE CASSELARDIT,"(1.407267, 43.604159)",17,OPEN
227,METRO UPS - TELEO,118  RTE DE NARBONNE,"(1.462928, 43.561074)",32,OPEN
228,METRO FACULTE DE PHARMACIE,FACE 35 CHEMIN DES MARAICHERS,"(1.464353, 43.568165)",18,OPEN
229,RANGUEIL IUT,129 AV DE RANGUEIL,"(1.462732, 43.57141)",18,OPEN
230,RANGUEIL TRIPODE B,141 AV DE RANGUEIL,"(1.467715, 43.567307)",20,OPEN
231,NARBONNE MARFAING,FACE 215 RTE DE NARBONNE ANGLE ALL EMILE DURAND,"(1.46541, 43.557264)",20,OPEN
